itrdb_species_code,species_name,scientific_aliases,common_names,phylogenetic_group,leaf_habit,tree_ring_structure
ABAL,Abies alba Mill.,[],"[""silver fir"", ""European silver fir""]",gymnosperm,evergreen,non-porous
ABAM,Abies amabilis Douglas ex J. Forbes,[],"[""Pacific silver fir""]",gymnosperm,evergreen,non-porous
ABBA,Abies balsamea (L.) Mill.,[],"[""balsam fir""]",gymnosperm,evergreen,non-porous
ABBI,Abies bifolia A.Murray,[],"[""Rocky Mountain alpine fir""]",gymnosperm,evergreen,non-porous
ABBO,Abies borisii-regis Mattf.,[],"[""Bulgarian fir"", ""King Boris fir""]",gymnosperm,evergreen,non-porous
ABBN,Abies bornmulleriana Mattf.,[],"[""Bornmuller's fir""]",gymnosperm,evergreen,non-porous
ABBR,Abies bracteata (D.Don) Nutt.,[],"[""bristlecone fir""]",gymnosperm,evergreen,non-porous
ABCE,Abies cephalonica Loudon,[],"[""Greek fir""]",gymnosperm,evergreen,non-porous
ABCH,Abies cheniensis van Tiegh,[],"[""Chensien fir""]",gymnosperm,evergreen,non-porous
ABCI,Abies cilicica (Ant. et Kotschy) Carr.,[],"[""Cilician fir""]",gymnosperm,evergreen,non-porous
ABCO,Abies concolor (Gordon) Lindl. ex Hildebr.,[],"[""white fir""]",gymnosperm,evergreen,non-porous
ABDE,Abies densa Griff.,[],"[""Sikkim fir""]",gymnosperm,evergreen,non-porous
ABDU,Abies durangensis Martínez,[],"[""Durango Fir""]",gymnosperm,evergreen,non-porous
ABEQ,Abies equi-trojani Aschers. et Sint.,[],[],gymnosperm,evergreen,non-porous
ABFX,Abies faxoniana,[],[],gymnosperm,evergreen,non-porous
ABFI,Abies firma Sieb. et Zucc.,[],"[""Japanese fir"", ""Momi fir""]",gymnosperm,evergreen,non-porous
ABFO,Abies forestii Rogers,[],"[""Chinese fir""]",gymnosperm,evergreen,non-porous
ABFR,Abies fraseri (Pursh) Poir.,[],"[""Fraser fir""]",gymnosperm,evergreen,non-porous
ABGR,Abies grandis (Dougl. ex D. Don) Lindl.,[],"[""grand fir"", ""giant fir""]",gymnosperm,evergreen,non-porous
ABHO,Abies holophylla Maxim.,[],"[""Manchurian fir""]",gymnosperm,evergreen,non-porous
